route_family,variant,substrate,transfer_required,process_temp_c,pressure_torr,h2_flow_sccm,ch4_flow_sccm,anneal_minutes,monolayer_fraction,domain_size_um,layer_count_avg,defect_density_cm2,sheet_res_ohm_sq,batch_energy_kwh,duration_hours,safety_risk_score,scalability_score,estimated_cost_usd,device_grade,quality_band
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,24.1,760,0,0,0,0.861,0.2,1.28,13375647584,404,0.44,0.49,0.25,0.12,77.41,1,High
CVD,Ni polycrystalline,Ni poly,1,975.2,1.26,59.4,37.2,23,0.372,12.62,2.36,46821577690,2359.4,17.2,2.9,0.58,0.64,436.18,0,Low
CVD,Ni(111) single crystal,Ni(111),1,943.4,1.04,57.8,28,22,0.538,7.02,1.88,54850251949,1680.8,22.03,3.47,0.59,0.69,612.11,0,Low
CVD,Cu foil,Cu poly,1,943.2,1.92,53.7,27.7,8,0.757,13.87,2.3,25285869779,846.9,11.46,3.19,0.45,0.84,349.5,1,Medium
CVD,Fe foil,Fe,1,981.5,1.38,82.9,22.1,12,0.595,14.91,2.78,62013223617,1771.5,22.17,3.94,0.5,0.67,515.74,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,20.3,760,0,0,0,0.306,2.09,3.21,71013549463,3206.8,3.86,9.39,0.71,0.55,459.79,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,22.5,760,0,0,0,0.436,4.89,3.67,48686356533,1943.1,2.68,8.24,0.7,0.57,404.53,0,Low
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,21.2,760,0,0,0,0.957,1.01,1.09,17831925775,409.8,0.46,1.27,0.25,0.21,105.54,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,19,760,0,0,0,0.773,1.02,1.35,15064677561,480.6,0.47,1.06,0.11,0.18,80.98,1,High
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,24,760,0,0,0,0.864,0.45,1.47,7758786575,313,0.51,0.99,0.18,0.18,86.89,1,High
CVD,Ni polycrystalline,Ni poly,1,941.9,1.64,71.1,41.4,12,0.438,9.02,2.46,52090260810,2136.1,21.56,3.1,0.59,0.77,498.82,0,Low
CVD,Ni(111) single crystal,Ni(111),1,971.4,1.32,37.8,22.1,18,0.565,10.94,2.46,55689023068,1711.4,21.69,2.6,0.59,0.77,567.96,0,Low
CVD,Cu foil,Cu poly,1,976,1.87,77.6,10.8,9,0.871,14.74,1.4,40656110330,846.3,11.9,2.72,0.62,0.72,354.23,1,Medium
CVD,Fe foil,Fe,1,969.2,1.71,63.6,26.6,17,0.441,9.94,2.9,61059024753,2402.3,12.52,4.16,0.53,0.63,412.62,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,26.1,760,0,0,0,0.273,3.5,3.21,87814981935,3993.7,3.81,11.1,0.71,0.6,519.49,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,22.3,760,0,0,0,0.346,6.15,2.43,60817832181,2426.4,2.58,8.12,0.63,0.72,391.09,0,Low
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,18.9,760,0,0,0,0.847,0.82,1.28,14266426696,423.8,0.56,0.67,0.24,0.18,83.77,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,21.6,760,0,0,0,0.811,0.75,1.09,12015178701,397,0.45,1.18,0.17,0.21,92.5,1,High
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,20.7,760,0,0,0,0.814,0.96,1.37,13019770342,425.4,0.51,1.09,0.26,0.17,100.79,1,High
CVD,Ni polycrystalline,Ni poly,1,965.5,1.24,62.7,34.8,15,0.436,16.32,3.78,60369085936,2620.4,18.27,3.67,0.72,0.65,500.4,0,Low
CVD,Ni(111) single crystal,Ni(111),1,941.4,1.46,61.6,14,11,0.568,2,1.64,64410042605,1678.4,18.33,4.01,0.68,0.74,601.57,0,Low
CVD,Cu foil,Cu poly,1,908.9,1.62,24.3,34.6,21,0.794,13.54,1,52157734134,1003,15.05,3.17,0.64,0.76,415.19,0,Medium
CVD,Fe foil,Fe,1,926.6,2.06,79.1,12.2,11,0.613,15.59,2.71,67670715947,1785.2,20.13,3.42,0.55,0.7,474.04,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,26,760,0,0,0,0.301,3.54,3.6,86477965950,3728.5,5.05,12.26,0.76,0.58,580.47,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,29.1,760,0,0,0,0.447,3.79,2.35,58396513738,1825.1,3,8.73,0.6,0.64,414.18,0,Low
Mechanical Exfoliation,Scotch Tape,SiO2/Si,0,21.9,760,0,0,0,0.941,1.22,1.03,9846897605,307.5,0.44,1.15,0.19,0.16,93.35,1,High
Mechanical Exfoliation,Diamond Wedge,SiO2/Si,0,25.6,760,0,0,0,0.821,0.95,1,15473552647,440.3,0.29,1.51,0.28,0.25,115.13,1,High
Mechanical Exfoliation,Liquid-Phase Sonication,SiO2/Si,0,22,760,0,0,0,0.726,0.81,1.32,15515481536,518.1,0.38,1.01,0.05,0.13,70.79,1,Medium
CVD,Ni polycrystalline,Ni poly,1,982.2,1.18,64,17.3,12,0.541,4.19,2.46,50184438997,1697.9,14.41,3.34,0.69,0.67,435.72,0,Low
CVD,Ni(111) single crystal,Ni(111),1,1001.8,2.29,59.2,11.3,12,0.586,7.09,2.86,60614123147,1794,16.14,3.27,0.78,0.73,554.66,0,Low
CVD,Cu foil,Cu poly,1,946.6,0.97,47.6,30.5,15,0.787,21.28,1.87,28748325392,829.4,11.55,3.82,0.7,0.81,410.12,1,Medium
CVD,Fe foil,Fe,1,952.2,1.29,59.9,21.4,10,0.706,19.2,2.06,53903325911,1292.6,17.69,2.76,0.68,0.82,430.19,0,Low
Modified Hummers,KMnO4 + H2SO4 (NaNO3-free),n/a,0,26.8,760,0,0,0,0.348,1.62,2.5,73805501730,2680.2,3.33,10.81,0.54,0.66,482.64,0,Low
Improved Hummers,K2FeO4 + reduced H2SO4,n/a,0,25.9,760,0,0,0,0.521,3.16,2.59,65421352212,1699.8,1.63,7.91,0.49,0.64,354.47,0,Low
