journal_topic,device_type,material_system,application_area,temperature_K,bias_voltage_V,quantum_well_width_nm,bandgap_eV,effective_mass_me,barrier_height_eV,photon_wavelength_nm,photon_energy_eV,is_infrared,spin_polarization,quantum_efficiency,performance_metric,meets_spec,device_complexity_index
k·p Perturbation Theory,QD-Based LCD Pixel,InGaAs/InP,Non-Volatile Memory,243.49,2.206,2.416,0.937,0.389,0.339,1321.3,0.938,1,-0.279,0.294,1.108,0,0.315
Single Quantum Well,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,295.23,1.9,3.119,1.38,0.232,0.401,963.9,1.286,1,0.092,0.338,6.964,0,0.428
Colloidal Quantum Dots,QD-Based LCD Pixel,WSe2,Optical Communication,295.93,3.234,3.318,1.977,0.351,0.339,627.3,1.977,0,-0.463,0.583,20.716,0,0.56
Spintronics Devices,Spintronic MRAM Cell,ZnSe-based,Display Technology,352.4,3.151,0.608,2.846,0.326,0.305,416,2.981,0,0.81,0.392,15.194,0,0.658
Quantum Cascade Laser,Quantum Well Laser,GaN/AlGaN,Display Technology,263.57,3.579,3.812,3.19,0.248,0.272,360.5,3.439,0,-0.043,0.443,22.03,0,0.692
Photoelectric Effect,2D-TMD FET,ZnSe-based,Optical Communication,290.23,5.186,0.695,2.856,0.376,0.337,406.4,3.051,0,0.366,0.575,36.532,1,0.516
Single Quantum Well,Quantum Cascade Laser,ZnSe-based,Terahertz Emission,342.65,3.277,7.449,2.849,0.339,0.269,365.1,3.397,0,-0.345,0.377,18.155,0,0.859
Spintronics Devices,Spintronic MRAM Cell,WSe2,Infrared Sensing,311.25,3.485,0.955,1.553,0.322,0.387,761,1.629,1,0.44,0.589,19.513,0,0.389
k·p Perturbation Theory,Quantum Cascade Laser,CdSe/CdS QDs,Infrared Sensing,314.08,1.922,6.318,2.21,0.296,0.141,635.9,1.95,0,-0.02,0.329,5.388,0,0.571
Photoelectric Effect,Avalanche Photodiode,GaAs/AlGaAs,Infrared Sensing,302.86,1.713,3.707,1.969,0.343,0.246,619.4,2.002,0,-0.066,0.419,1.234,0,0.479
Colloidal Quantum Dots,2D-TMD FET,GaAs/AlGaAs,Visible LEDs,308.25,4.583,1.13,1.325,0.323,0.504,971,1.277,1,-0.274,0.689,22.421,1,0.329
Colloidal Quantum Dots,QD-Based LCD Pixel,CdSe/CdS QDs,Infrared Sensing,319.44,2.077,1.679,2.021,0.306,0.237,489.5,2.533,0,0.119,0.268,12.456,0,0.253
k·p Perturbation Theory,Spintronic MRAM Cell,GaN/AlGaN,Visible LEDs,279.76,1.956,0.776,2.866,0.236,0.276,461.1,2.689,0,0.624,0.455,18.465,0,0.61
Single Quantum Well,Quantum Cascade Laser,InGaAs/InP,Infrared Sensing,321.95,2.961,4.316,0.727,0.469,0.212,1698,0.73,1,0.357,0.515,17.181,0,0.455
Photoelectric Effect,QD-Based LCD Pixel,GaN/AlGaN,Optical Communication,265.67,2.91,4.586,3.463,0.195,0.334,334,3.713,0,0.202,0.39,13.393,0,0.777
Schrodinger Cat Paradox,Spintronic MRAM Cell,GaN/AlGaN,Visible LEDs,308.21,2.097,1.111,2.798,0.343,0.226,452.2,2.742,0,0.689,0.402,11.028,0,0.696
Colloidal Quantum Dots,Quantum Cascade Laser,WSe2,Display Technology,304.47,2.695,6.076,1.605,0.268,0.281,747.7,1.658,1,-0.201,0.569,17.606,0,0.649
k·p Perturbation Theory,Quantum Cascade Laser,GaN/AlGaN,Display Technology,284.59,4.229,4.961,2.524,0.476,0.385,385.1,3.22,0,-0.274,0.41,19.837,0,0.662
Spintronics Devices,Avalanche Photodiode,GaN/AlGaN,Visible LEDs,299.43,2.194,6.441,2.773,0.21,0.23,493.3,2.514,0,0.295,0.319,10.027,0,0.88
Photoelectric Effect,Quantum Well Laser,WSe2,Infrared Sensing,284.44,1.606,3.911,1.358,0.226,0.379,925,1.34,1,-0.156,0.325,4.529,0,0.368
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Display Technology,273.21,3.943,2.195,1.526,0.203,0.382,796.7,1.556,1,0.52,0.643,26.987,1,0.397
Quantum Cascade Laser,2D-TMD FET,MoS2,Display Technology,291.16,3.492,0.757,2.36,0.332,0.405,477.1,2.599,0,0.105,0.578,26.405,1,0.102
Spintronics Devices,Quantum Well Laser,GaN/AlGaN,Display Technology,272.4,2.379,2.85,2.89,0.163,0.314,355.6,3.487,0,0.066,0.31,10.459,0,0.499
Photoelectric Effect,2D-TMD FET,GaAs/AlGaAs,Terahertz Emission,308.07,1.418,0.5,1.067,0.252,0.624,1173.7,1.056,1,-0.061,0.416,2.269,0,0.078
Spintronics Devices,QD-Based LCD Pixel,GaN/AlGaN,Display Technology,271.25,2.255,5.331,3.27,0.085,0.405,459.9,2.696,0,0.132,0.352,11.67,0,0.763
Quantum Cascade Laser,Avalanche Photodiode,CdSe/CdS QDs,Terahertz Emission,317.8,2.945,5.229,1.782,0.324,0.332,706,1.756,1,-0.003,0.51,14.104,0,0.364
Photoelectric Effect,Spintronic MRAM Cell,CdSe/CdS QDs,Visible LEDs,270.46,4.166,0.833,2.39,0.25,0.212,449.7,2.757,0,0.768,0.458,29.249,1,0.56
Photoelectric Effect,Quantum Well Laser,ZnSe-based,Visible LEDs,285.84,1.963,5.874,2.744,0.151,0.29,463.2,2.677,0,0.139,0.411,14.284,0,0.744
Quantum Cascade Laser,QD-Based LCD Pixel,GaAs/AlGaAs,Infrared Sensing,284.38,2.915,3.688,1.274,0.409,0.443,970.9,1.277,1,-0.029,0.492,14.234,0,0.28
Colloidal Quantum Dots,QD-Based LCD Pixel,GaN/AlGaN,Infrared Sensing,333.13,3.675,4.966,2.947,0.169,0.471,464,2.672,0,-0.16,0.448,24.275,0,0.714
Colloidal Quantum Dots,Quantum Cascade Laser,ZnSe-based,Display Technology,308.26,0.619,1.678,2.952,0.38,0.448,450.5,2.753,0,0.12,0.279,0,0,0.419
Quantum Cascade Laser,Quantum Well Laser,GaAs/AlGaAs,Display Technology,294.71,4.034,3.602,1.355,0.23,0.379,766.2,1.618,1,-0.013,0.491,18.747,0,0.346
Single Quantum Well,2D-TMD FET,CdSe/CdS QDs,Display Technology,312.47,1.818,0.769,1.851,0.46,0.174,697.2,1.779,0,0.098,0.369,8.293,0,0.301
k·p Perturbation Theory,Quantum Cascade Laser,CdSe/CdS QDs,Infrared Sensing,247.32,3.332,1.039,1.94,0.375,0.349,588.9,2.106,0,-0.091,0.334,20.61,0,0.351
Quantum Cascade Laser,2D-TMD FET,MoS2,Visible LEDs,298.92,3.247,1.53,1.546,0.199,0.176,731.2,1.696,1,-0.242,0.602,13.54,0,0.339
Single Quantum Well,QD-Based LCD Pixel,ZnSe-based,Infrared Sensing,349.94,4.085,2.73,2.879,0.208,0.151,421.2,2.944,0,0.347,0.322,18.282,0,0.555
Quantum Cascade Laser,QD-Based LCD Pixel,GaN/AlGaN,Terahertz Emission,303.31,3.551,3.74,2.464,0.361,0.324,523.8,2.367,0,0.309,0.583,34.194,1,0.58
Photoelectric Effect,QD-Based LCD Pixel,GaAs/AlGaAs,Infrared Sensing,301.7,0.623,5.36,1.311,0.274,0.352,863.7,1.436,1,0.177,0.246,0,0,0.569
Single Quantum Well,Avalanche Photodiode,MoS2,Optical Communication,313.7,2.215,3.47,1.952,0.283,0.39,670.5,1.849,0,-0.078,0.467,12.196,0,0.367
Quantum Cascade Laser,Quantum Cascade Laser,ZnSe-based,Non-Volatile Memory,322.39,3.138,3.368,2.861,0.427,0.35,471.6,2.629,0,-0.06,0.464,20.499,0,0.519
k·p Perturbation Theory,Quantum Cascade Laser,CdSe/CdS QDs,Terahertz Emission,250.06,2.805,4.178,2.177,0.225,0.353,571.9,2.168,0,0.276,0.447,18.198,0,0.566
Colloidal Quantum Dots,Quantum Cascade Laser,ZnSe-based,Terahertz Emission,257.94,3.478,5.481,2.787,0.309,0.202,401.5,3.088,0,-0.071,0.419,24.195,0,0.656
Colloidal Quantum Dots,Quantum Well Laser,GaAs/AlGaAs,Optical Communication,305.26,3.789,3.15,1.634,0.395,0.29,709.9,1.747,1,-0.127,0.596,24.125,1,0.33
Quantum Cascade Laser,Spintronic MRAM Cell,WSe2,Infrared Sensing,282.13,3.608,0.685,1.885,0.381,0.149,709.1,1.749,1,0.63,0.568,28.033,1,0.351
Photoelectric Effect,Quantum Well Laser,MoS2,Optical Communication,332.8,2.786,5.586,1.889,0.284,0.1,580.8,2.135,0,-0.01,0.374,12.763,0,0.574
Single Quantum Well,QD-Based LCD Pixel,WSe2,Infrared Sensing,292.12,1.154,3.379,1.886,0.271,0.374,710.9,1.744,1,0.354,0.348,1.63,0,0.605
k·p Perturbation Theory,QD-Based LCD Pixel,MoS2,Non-Volatile Memory,251.64,2.545,0.955,1.95,0.126,0.225,627.6,1.976,0,-0.28,0.277,8.02,0,0.235
Photoelectric Effect,2D-TMD FET,InGaAs/InP,Infrared Sensing,268.3,3.416,0.5,0.734,0.194,0.387,1684.4,0.736,1,0.104,0.471,13.702,0,0.138
k·p Perturbation Theory,QD-Based LCD Pixel,GaAs/AlGaAs,Optical Communication,231.26,1.91,4.501,1.131,0.332,0.411,1010.8,1.227,1,0.414,0.267,6.608,0,0.621
Spintronics Devices,Quantum Cascade Laser,GaAs/AlGaAs,Non-Volatile Memory,294.15,3.631,4.603,1.484,0.286,0.238,828.2,1.497,1,0.006,0.704,25.497,1,0.467
Schrodinger Cat Paradox,2D-TMD FET,WSe2,Optical Communication,295.29,3.908,0.619,1.809,0.307,0.359,716.1,1.732,1,-0.053,0.533,19.171,0,0.198
Colloidal Quantum Dots,Quantum Cascade Laser,ZnSe-based,Infrared Sensing,289.39,3.127,3.744,3.018,0.404,0.234,344,3.604,0,-0.234,0.479,20.833,0,0.581
Colloidal Quantum Dots,Avalanche Photodiode,ZnSe-based,Optical Communication,326.97,0.1,4.02,2.613,0.181,0.115,499.5,2.482,0,0.216,0.228,0,0,0.614
Photoelectric Effect,2D-TMD FET,WSe2,Optical Communication,329.96,1.722,1.368,1.519,0.276,0.312,820.9,1.51,1,-0.154,0.247,6.083,0,0.3
Photoelectric Effect,Quantum Cascade Laser,CdSe/CdS QDs,Visible LEDs,295.74,4.886,1.963,2.138,0.319,0.253,547.8,2.264,0,-0.019,0.532,30.098,1,0.345
Spintronics Devices,Quantum Well Laser,WSe2,Terahertz Emission,246.63,2.453,2.739,1.686,0.23,0.256,778.3,1.593,1,-0.247,0.233,8.891,0,0.417
k·p Perturbation Theory,Quantum Cascade Laser,WSe2,Display Technology,315.43,1.016,4.409,1.323,0.443,0.498,827.3,1.499,1,0.311,0.285,1.622,0,0.446
Photoelectric Effect,QD-Based LCD Pixel,GaN/AlGaN,Optical Communication,313.88,4.235,2.9,3.113,0.391,0.147,415.7,2.983,0,0.231,0.618,37.649,1,0.631
Spintronics Devices,Avalanche Photodiode,InGaAs/InP,Optical Communication,307.73,3.013,4.858,0.522,0.329,0.338,2455.8,0.505,1,-0.006,0.594,19.088,0,0.361
Photoelectric Effect,Quantum Cascade Laser,MoS2,Visible LEDs,324.54,4.105,2.156,1.611,0.479,0.201,841.7,1.473,1,-0.231,0.533,23.406,1,0.39
Spintronics Devices,Quantum Well Laser,MoS2,Non-Volatile Memory,270.88,3.277,4.536,2.07,0.15,0.391,618.4,2.005,0,0.307,0.44,21.126,0,0.623
Spintronics Devices,QD-Based LCD Pixel,GaAs/AlGaAs,Display Technology,350.22,3.459,4.092,1.765,0.299,0.33,687.5,1.804,0,-0.073,0.369,12.096,0,0.57
Photoelectric Effect,Quantum Cascade Laser,InGaAs/InP,Display Technology,276.01,3.363,4.73,0.618,0.337,0.338,1975.8,0.628,1,-0.221,0.551,21.536,1,0.378
Spintronics Devices,Avalanche Photodiode,ZnSe-based,Visible LEDs,318.73,3.697,4.209,2.734,0.209,0.206,438.4,2.829,0,-0.352,0.587,26.991,1,0.78
k·p Perturbation Theory,Avalanche Photodiode,MoS2,Infrared Sensing,257.82,5.277,3.856,1.809,0.33,0.223,712.8,1.74,1,-0.129,0.463,23.594,1,0.416
k·p Perturbation Theory,Spintronic MRAM Cell,GaN/AlGaN,Optical Communication,276.74,3.971,0.583,3.5,0.189,0.393,313.9,3.95,0,0.758,0.508,32.981,1,0.792
Photoelectric Effect,QD-Based LCD Pixel,CdSe/CdS QDs,Optical Communication,337.91,1.42,2.928,1.852,0.369,0.477,707.4,1.753,1,-0.125,0.257,0.853,0,0.495
Schrodinger Cat Paradox,2D-TMD FET,InGaAs/InP,Optical Communication,293.48,3.447,1.63,0.728,0.406,0.348,1808.9,0.686,1,0.149,0.565,18.219,0,0.184
Schrodinger Cat Paradox,Quantum Cascade Laser,GaAs/AlGaAs,Terahertz Emission,321,4.141,3.821,1.71,0.327,0.21,722.2,1.717,1,-0.075,0.608,27.035,1,0.545
Quantum Cascade Laser,Quantum Well Laser,ZnSe-based,Infrared Sensing,305.92,4.203,2.665,2.725,0.115,0.334,387.8,3.197,0,0.071,0.567,30.696,1,0.507
Schrodinger Cat Paradox,QD-Based LCD Pixel,InGaAs/InP,Display Technology,297.38,2.573,2.508,0.908,0.203,0.543,1297.9,0.955,1,-0.145,0.489,15.127,0,0.22
Colloidal Quantum Dots,Spintronic MRAM Cell,CdSe/CdS QDs,Non-Volatile Memory,334.1,4.165,1.1,1.557,0.356,0.31,835.3,1.484,1,0.639,0.492,22.777,1,0.444
Colloidal Quantum Dots,QD-Based LCD Pixel,InGaAs/InP,Non-Volatile Memory,294.08,3.928,2.626,0.774,0.302,0.446,1598.4,0.776,1,0.384,0.724,34.523,1,0.449
Colloidal Quantum Dots,Quantum Well Laser,MoS2,Visible LEDs,255.48,5.573,4.728,1.468,0.05,0.226,888.5,1.396,1,-0.07,0.594,29.272,1,0.522
Schrodinger Cat Paradox,Avalanche Photodiode,GaN/AlGaN,Display Technology,279.92,2.25,4.784,2.683,0.424,0.296,435.4,2.848,0,0.077,0.407,12.624,0,0.536
Photoelectric Effect,QD-Based LCD Pixel,WSe2,Optical Communication,313.78,2.493,3.889,1.868,0.314,0.362,705.4,1.758,1,-0.313,0.514,10.879,0,0.543
k·p Perturbation Theory,QD-Based LCD Pixel,GaN/AlGaN,Optical Communication,309.89,2.694,4.424,2.985,0.218,0.34,407.5,3.043,0,0.304,0.553,21.602,0,0.729
Single Quantum Well,Quantum Cascade Laser,MoS2,Visible LEDs,260.82,2.51,5.494,1.736,0.399,0.223,677.6,1.83,0,-0.095,0.34,14.458,0,0.515
Spintronics Devices,QD-Based LCD Pixel,InGaAs/InP,Visible LEDs,281.89,2.11,2.066,0.688,0.232,0.219,1783.1,0.695,1,0.21,0.418,8.635,0,0.415
k·p Perturbation Theory,2D-TMD FET,InGaAs/InP,Non-Volatile Memory,285.46,0.237,0.548,0.767,0.231,0.399,1557,0.796,1,-0.025,0.187,2.472,0,0.103
Photoelectric Effect,Quantum Cascade Laser,GaN/AlGaN,Display Technology,290.86,2.565,3.886,3.09,0.336,0.419,500.7,2.476,0,0.122,0.353,12.279,0,0.613
Photoelectric Effect,2D-TMD FET,CdSe/CdS QDs,Non-Volatile Memory,265.6,3.369,0.774,2.295,0.478,0.451,535.5,2.316,0,0.134,0.455,21.763,0,0.41
Photoelectric Effect,Avalanche Photodiode,GaAs/AlGaAs,Infrared Sensing,284.29,2.507,2.293,0.875,0.462,0.48,1449.4,0.856,1,-0.09,0.453,16.332,0,0.215
Schrodinger Cat Paradox,Avalanche Photodiode,CdSe/CdS QDs,Infrared Sensing,281.78,4.935,3.337,1.75,0.336,0.313,681.5,1.819,0,0.218,0.627,42.698,1,0.533
Photoelectric Effect,QD-Based LCD Pixel,MoS2,Display Technology,319.29,3.013,2.525,1.832,0.346,0.269,624.3,1.986,0,-0.152,0.472,18.85,0,0.278
Colloidal Quantum Dots,Spintronic MRAM Cell,MoS2,Infrared Sensing,320.23,4.291,0.664,1.78,0.379,0.435,684.8,1.811,0,0.675,0.666,42.729,1,0.452
Spintronics Devices,Quantum Well Laser,CdSe/CdS QDs,Non-Volatile Memory,296.35,3.261,3.526,2.121,0.174,0.371,639.7,1.938,0,-0.078,0.533,21.158,0,0.534
k·p Perturbation Theory,QD-Based LCD Pixel,InGaAs/InP,Non-Volatile Memory,290.2,3.826,4.178,0.84,0.364,0.202,1449.9,0.855,1,0.07,0.56,21.918,1,0.457
Colloidal Quantum Dots,Avalanche Photodiode,MoS2,Display Technology,303.5,3.279,4.299,1.739,0.227,0.197,669.5,1.852,0,-0.092,0.529,24.048,0,0.419
k·p Perturbation Theory,QD-Based LCD Pixel,MoS2,Display Technology,279.59,4.369,5.472,1.695,0.332,0.349,739.5,1.677,1,0.01,0.572,27.391,1,0.447
Schrodinger Cat Paradox,Quantum Well Laser,InGaAs/InP,Visible LEDs,271.33,3.056,4.256,0.763,0.277,0.282,1649.7,0.752,1,-0.215,0.504,17.566,0,0.444
Single Quantum Well,QD-Based LCD Pixel,GaN/AlGaN,Infrared Sensing,276.49,3.496,2.71,3.345,0.35,0.297,452.9,2.738,0,0.05,0.426,17.103,0,0.499
Colloidal Quantum Dots,QD-Based LCD Pixel,WSe2,Visible LEDs,284.13,3.366,3.004,1.554,0.312,0.407,815.8,1.52,1,0.009,0.59,23.746,1,0.314
Schrodinger Cat Paradox,QD-Based LCD Pixel,GaAs/AlGaAs,Visible LEDs,270.91,2.712,3.256,1.387,0.05,0.376,925.9,1.339,1,-0.108,0.403,10.637,0,0.43
Photoelectric Effect,Spintronic MRAM Cell,CdSe/CdS QDs,Infrared Sensing,304.05,3.405,1.218,2.055,0.318,0.433,639.4,1.939,0,0.474,0.591,26.977,1,0.431
Spintronics Devices,Quantum Cascade Laser,GaAs/AlGaAs,Non-Volatile Memory,318.24,5.234,7.115,1.712,0.364,0.107,666.6,1.86,0,0.027,0.614,41.71,1,0.488
Colloidal Quantum Dots,QD-Based LCD Pixel,GaN/AlGaN,Infrared Sensing,260.32,2.73,2.155,2.91,0.345,0.325,378,3.281,0,-0.123,0.284,14.427,0,0.395
k·p Perturbation Theory,Avalanche Photodiode,MoS2,Non-Volatile Memory,300.63,3.419,5.289,1.992,0.29,0.369,568.4,2.182,0,-0.026,0.592,28.152,1,0.539
k·p Perturbation Theory,QD-Based LCD Pixel,GaAs/AlGaAs,Display Technology,294.5,4.258,3.208,1.646,0.464,0.147,686.6,1.806,0,-0.201,0.673,37.938,1,0.307
Photoelectric Effect,Spintronic MRAM Cell,CdSe/CdS QDs,Terahertz Emission,308.54,4.14,0.5,1.981,0.331,0.235,665.8,1.863,0,0.474,0.684,43.061,1,0.393
Colloidal Quantum Dots,Quantum Cascade Laser,CdSe/CdS QDs,Optical Communication,299.68,3.012,5.156,1.937,0.344,0.216,654.7,1.894,0,0.212,0.529,26.593,1,0.504
Colloidal Quantum Dots,Spintronic MRAM Cell,GaN/AlGaN,Display Technology,263.66,0.617,1.634,2.901,0.404,0.302,431.4,2.875,0,0.845,0.31,5.294,0,0.862
Spintronics Devices,Spintronic MRAM Cell,GaAs/AlGaAs,Optical Communication,268.44,3.517,0.571,1.349,0.336,0.463,789.7,1.57,1,0.727,0.434,14.268,0,0.597
Colloidal Quantum Dots,Quantum Well Laser,MoS2,Visible LEDs,300.74,0.781,3.987,1.971,0.21,0.502,731.9,1.694,1,-0.396,0.302,8.141,0,0.532
Colloidal Quantum Dots,Quantum Well Laser,ZnSe-based,Infrared Sensing,325.72,4.47,1.412,2.846,0.056,0.219,391,3.172,0,-0.512,0.484,27.966,1,0.608
Quantum Cascade Laser,Avalanche Photodiode,GaN/AlGaN,Optical Communication,244.65,3.169,2.112,3.071,0.252,0.353,506.4,2.449,0,-0.08,0.271,9.918,0,0.417
Photoelectric Effect,Quantum Well Laser,WSe2,Infrared Sensing,308.64,4,5.572,1.475,0.376,0.356,768.2,1.614,1,-0.276,0.496,16.064,0,0.578
Quantum Cascade Laser,Quantum Cascade Laser,GaAs/AlGaAs,Optical Communication,329.74,2.098,3.3,1.207,0.265,0.339,987.1,1.256,1,-0.047,0.358,8.63,0,0.45
Schrodinger Cat Paradox,QD-Based LCD Pixel,GaN/AlGaN,Display Technology,296.17,1.447,1.891,3.5,0.38,0.34,300,4.133,0,0.041,0.287,4.025,0,0.471
Photoelectric Effect,Spintronic MRAM Cell,WSe2,Optical Communication,313.76,3.261,1.115,1.664,0.315,0.33,763.1,1.625,1,0.395,0.55,21.214,1,0.363
Photoelectric Effect,Quantum Cascade Laser,GaN/AlGaN,Visible LEDs,282.42,2.966,3.216,2.768,0.429,0.469,393,3.155,0,-0.228,0.515,21.864,0,0.515
Spintronics Devices,2D-TMD FET,ZnSe-based,Display Technology,297.02,2.508,0.765,3.086,0.27,0.41,348.1,3.562,0,0.08,0.329,9.197,0,0.477
Quantum Cascade Laser,Spintronic MRAM Cell,WSe2,Terahertz Emission,259.48,3.085,1.37,1.756,0.347,0.194,637.4,1.945,0,0.636,0.363,13.717,0,0.285
Quantum Cascade Laser,Quantum Well Laser,CdSe/CdS QDs,Terahertz Emission,241.39,5.767,2.257,2.173,0.351,0.38,609.4,2.035,0,0.07,0.327,21.901,0,0.352
Colloidal Quantum Dots,QD-Based LCD Pixel,CdSe/CdS QDs,Optical Communication,323.57,3.835,2.095,1.959,0.45,0.389,668.7,1.854,0,-0.104,0.532,25.182,1,0.357
Quantum Cascade Laser,Spintronic MRAM Cell,InGaAs/InP,Terahertz Emission,275.38,4.049,1.077,0.752,0.129,0.331,1739.1,0.713,1,0.125,0.645,27.719,1,0.116
Spintronics Devices,Spintronic MRAM Cell,GaN/AlGaN,Non-Volatile Memory,288.61,3.844,1.485,2.949,0.254,0.413,386.2,3.211,0,0.485,0.626,31.353,1,0.656
Photoelectric Effect,Spintronic MRAM Cell,CdSe/CdS QDs,Infrared Sensing,265.34,4.479,1.619,1.585,0.385,0.319,793.2,1.563,1,0.792,0.519,25.671,1,0.653
Colloidal Quantum Dots,Spintronic MRAM Cell,WSe2,Visible LEDs,264.75,2.81,0.667,1.682,0.455,0.32,672.6,1.844,0,0.575,0.364,17.348,0,0.333
Quantum Cascade Laser,Quantum Well Laser,GaN/AlGaN,Terahertz Emission,295.65,0.945,5.406,3.089,0.324,0.312,384.7,3.223,0,0.149,0.233,4.538,0,0.871
Schrodinger Cat Paradox,Spintronic MRAM Cell,WSe2,Visible LEDs,281.76,2.811,0.608,2.07,0.271,0.098,573.1,2.164,0,0.624,0.55,20.825,0,0.395
Colloidal Quantum Dots,QD-Based LCD Pixel,InGaAs/InP,Infrared Sensing,309.45,3.812,4.826,0.813,0.376,0.292,1548.6,0.801,1,-0.066,0.71,24.102,1,0.474
Colloidal Quantum Dots,Avalanche Photodiode,ZnSe-based,Terahertz Emission,311.31,2.03,2.299,2.333,0.387,0.233,582.3,2.129,0,0.126,0.376,9.675,0,0.438
Photoelectric Effect,Spintronic MRAM Cell,GaAs/AlGaAs,Terahertz Emission,308.02,2.824,1.664,1.381,0.264,0.181,947.3,1.309,1,-0.003,0.448,14.66,0,0.188
Schrodinger Cat Paradox,Quantum Well Laser,CdSe/CdS QDs,Terahertz Emission,305.97,2.308,3.015,2.822,0.333,0.443,397.3,3.121,0,-0.532,0.334,9.977,0,0.671
Photoelectric Effect,Quantum Cascade Laser,GaAs/AlGaAs,Terahertz Emission,339.44,4.502,7.02,1.573,0.418,0.35,838.1,1.48,1,-0.613,0.505,17.965,0,0.841
Schrodinger Cat Paradox,Quantum Cascade Laser,GaAs/AlGaAs,Terahertz Emission,273.31,3.749,4.887,1.238,0.489,0.297,999.6,1.241,1,0.254,0.6,25.384,1,0.532
Photoelectric Effect,2D-TMD FET,MoS2,Visible LEDs,298.63,3.652,0.5,1.918,0.374,0.244,630.2,1.968,0,0.246,0.53,31.988,1,0.248
Spintronics Devices,Avalanche Photodiode,GaN/AlGaN,Infrared Sensing,328.32,3.622,3.217,2.777,0.304,0.33,411,3.017,0,0.377,0.461,24.935,0,0.627
Quantum Cascade Laser,Avalanche Photodiode,ZnSe-based,Non-Volatile Memory,331.61,2.963,5.172,2.529,0.295,0.399,462.3,2.682,0,-0.004,0.512,15.512,0,0.532
k·p Perturbation Theory,Quantum Cascade Laser,CdSe/CdS QDs,Infrared Sensing,264.46,3.198,5.579,1.895,0.356,0.217,741.3,1.673,1,-0.259,0.405,13.435,0,0.558
Colloidal Quantum Dots,2D-TMD FET,GaN/AlGaN,Visible LEDs,292.19,1.815,0.965,3.027,0.288,0.3,425,2.918,0,-0.084,0.451,15.797,0,0.349
Spintronics Devices,2D-TMD FET,InGaAs/InP,Non-Volatile Memory,333.95,0.814,1.022,0.519,0.319,0.387,2397.1,0.517,1,0.002,0.298,0,0,0
Quantum Cascade Laser,Quantum Well Laser,InGaAs/InP,Terahertz Emission,312.7,3.15,5.138,0.628,0.194,0.106,1962.6,0.632,1,-0.201,0.519,16.454,0,0.411
Photoelectric Effect,Avalanche Photodiode,CdSe/CdS QDs,Infrared Sensing,304.88,3.324,4.198,2.003,0.43,0.294,741.3,1.673,1,0.33,0.483,17.208,0,0.625
