Synthesis_Method,Gas_Type,Temperature_C,Pressure_torr,Catalyst_FeCoNi_at_pct,Growth_Time_min,Purity_%,SWCNT_Fraction,Diameter_nm,Length_um,Raman_GD,Electrical_Conductivity_Sm,Resistivity_uOhm_cm,Application,EMI_Shielding_dB,Gas_Sensitivity_%,Capacitance_Fg,Failure_Mode,Severity,Occurrence,Detectability,Failure_Label,PhD_Topic
Arc Discharge,He,3848.67,255.6,2.03,77.5,86.4,0.462,8.224,302.09,136.83,699000,124.5535,Interconnect,9.65,9.01,24.47,Junction_Breakdown,9,2,5,0,CNT_Sensors
CVD,C2H2,776.4,390.75,1.67,35.36,94.55,0.547,12.672,778.98,138.49,744500,140.6848,Sensor,16.87,29.2,29.46,Drift_in_Sensitivity,8,8,8,0,CNT_Interconnects
Arc Discharge,Ar,4036.8,347.41,0.97,65.82,83.82,0.45,23.042,1443.17,142.22,702900,157.2509,Interconnect,19.65,9.46,31.81,Junction_Breakdown,4,7,4,0,CNT_Energy_Electrodes
Arc Discharge,Ar,4064,481.35,2.73,80.87,80.43,0.544,16.903,1003.98,123.28,765800,152.6569,EMI_Shielding,33.2,3.64,8.58,Drift_in_Sensitivity,8,2,6,0,CNT_Synthesis_Optimization
CVD,C2H2,728.12,198.75,2.19,54.06,93.85,0.457,12.818,143.96,88.37,650800,159.5694,Biomedical,14.05,8.1,49.33,Junction_Breakdown,5,6,5,1,CNT_Energy_Electrodes
CVD,CH4,682.11,337.48,2.38,75.21,86.81,0.613,10.37,832.98,44.71,619700,144.3225,Energy_Electrode,15.43,17.41,155.81,Electromigration,5,6,6,0,CNT_EMI_Composites
CVD,CH4,680.04,155.87,0.95,66.54,97.24,0.651,21.131,1506.29,140.97,788200,140.2443,Interconnect,9.54,7.88,27.04,Matrix_Cracking,4,2,8,1,CNT_Energy_Electrodes
CVD,CO,674.52,165.95,0.52,43.44,98.53,0.502,24.76,1656.89,133.21,796600,129.0541,Biomedical,14.52,6.33,21.21,Drift_in_Sensitivity,6,2,8,0,CNT_Energy_Electrodes
Arc Discharge,He,3955.98,365.1,0.65,83.56,74.25,0.313,16.501,639.78,136.63,472800,202.6849,Interconnect,7.03,4.37,22.39,Electromigration,7,7,2,0,CNT_EMI_Composites
CVD,CO,678.96,114.81,1.23,82.23,87.87,0.635,12.099,1235.64,79.71,828700,139.306,Energy_Electrode,30.27,14.9,54.26,Junction_Breakdown,7,6,4,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1214.99,585.66,2.43,70.22,86.86,0.806,1.44,758.32,127.76,985400,81.3481,Biomedical,20.74,13.56,61.82,Drift_in_Sensitivity,8,4,2,1,CNT_Sensors
CVD,CO,758.22,308.34,1.35,34.55,96.29,0.576,26.957,586.6,61.32,653600,169.7717,EMI_Shielding,57.87,9,64.1,Junction_Breakdown,7,2,5,0,CNT_Sensors
Arc Discharge,Ar,4484.08,429.81,0.97,62.04,79.43,0.32,27.071,1160.05,90.16,521700,176.7088,Sensor,12.37,34.31,53.89,Electromigration,8,3,3,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1151.08,410.07,1.91,98.89,85.56,0.66,27.697,339.86,119.18,615100,193.2428,Sensor,9.06,35.08,27.72,Drift_in_Sensitivity,4,8,7,1,CNT_Energy_Electrodes
Arc Discharge,He,3599.71,433.47,0.88,76.68,82.61,0.255,25.802,1097.76,87.49,492300,223.1387,EMI_Shielding,49.53,8.69,65.22,Contamination,7,7,8,1,CNT_EMI_Composites
CVD,CO,633.6,189.19,2.63,59.79,88.42,0.597,15.773,1088.42,121.68,609400,141.4865,Biomedical,23.84,29.41,18.83,Electromigration,6,6,4,1,CNT_Interconnects
Arc Discharge,He,3850.36,244.05,1.21,61.55,86.43,0.422,10.511,174.66,48.83,764400,141.4612,Energy_Electrode,33.72,6.77,65.64,Drift_in_Sensitivity,9,3,3,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1315.73,596.24,1.13,93.57,88.03,0.814,1.944,32.19,113.44,774700,123.4901,Sensor,14.51,11.11,39.29,Contamination,5,6,5,0,CNT_EMI_Composites
Laser Ablation,Ar,1172.46,582.11,0.72,47.6,85.63,0.826,1.972,1192.5,40.14,932800,124.1723,Interconnect,6.62,1.44,14.55,Drift_in_Sensitivity,4,7,2,1,CNT_Sensors
CVD,CO,606.8,233.22,2.76,73.19,96.42,0.409,24.969,100.73,112.9,813900,110.0502,Energy_Electrode,16.17,11.25,113.14,Matrix_Cracking,4,4,6,0,CNT_Sensors
CVD,CO,726.25,374.12,1.2,54.07,86.45,0.747,1.263,1376.38,135.64,877700,97.9588,Energy_Electrode,26.58,18.75,294.65,Pore_Collapse,8,2,6,1,CNT_EMI_Composites
CVD,C2H2,709.35,380.69,2.15,64.67,95.2,0.688,29.607,1579.13,78.44,855200,131.1572,Biomedical,14.23,22.12,33.92,Thermal_Runaway,9,3,3,0,CNT_Interconnects
Laser Ablation,Ar,1216.95,564.54,0.79,42.46,85.32,0.832,0.901,1505.95,108.17,704100,138.6546,Sensor,6.3,81.52,55.55,Thermal_Runaway,7,2,6,0,CNT_Sensors
Laser Ablation,Ar,1094.93,477.12,1.67,60.03,86.56,0.897,0.995,345.31,74.21,696300,163.6984,Biomedical,16.56,37.57,78.71,Thermal_Runaway,7,8,8,0,CNT_Interconnects
Arc Discharge,Ar,4356.52,363.35,1.13,39,83.27,0.381,5.004,1702.11,139.58,575800,175.8476,EMI_Shielding,66.51,7.8,17.79,Matrix_Cracking,8,3,6,1,CNT_EMI_Composites
Laser Ablation,Ar,1198.48,488.5,1.11,58.91,89.44,0.736,1.954,289.41,134.32,757100,156.9603,Sensor,22.48,29.15,20.39,Junction_Breakdown,9,6,8,1,CNT_Sensors
CVD,CO,689.21,397.07,2.05,32.02,92.29,0.539,22.483,551.76,58.54,713700,165.2124,Interconnect,11.08,0.67,6.8,Contamination,8,3,2,0,CNT_Sensors
CVD,CO,717.11,384.37,1.52,66.19,98.19,0.479,5.134,1825.88,140.72,900800,91.0083,Biomedical,13.9,21.86,52.22,Contamination,9,7,6,1,CNT_Interconnects
Arc Discharge,Ar,4557.5,396.48,2.14,67.98,81.65,0.205,16.666,184.26,121.98,531400,187.1066,Sensor,12.66,24.63,45.9,Matrix_Cracking,9,7,5,1,CNT_Energy_Electrodes
CVD,C2H2,731.97,252.68,1.02,74.32,92.03,0.606,8.592,1973.06,49.74,748400,157.8042,Sensor,26.56,23.57,8.45,Thermal_Runaway,7,6,6,1,CNT_Sensors
Arc Discharge,He,4368.89,468.38,1.98,49.01,75.18,0.589,25.196,1756,101.13,613800,193.7998,Biomedical,20.55,29.55,36.71,Drift_in_Sensitivity,7,5,2,0,CNT_Energy_Electrodes
Arc Discharge,Ar,3716.05,490.12,1.02,73.41,72.83,0.554,8.148,500.07,46.04,551900,198.7778,Interconnect,16.26,3.26,35.93,Junction_Breakdown,4,2,4,1,CNT_Sensors
Laser Ablation,Ar,1232.37,585.7,2.71,46.63,85.02,0.777,0.834,293.68,142.15,806000,117.2385,Interconnect,11.03,4.18,37.1,Pore_Collapse,7,2,4,1,CNT_EMI_Composites
Laser Ablation,Ar,1322.42,420.88,2.9,57.63,85.5,0.717,1.182,890.05,145.36,711600,123.9819,Biomedical,5.24,27.21,22.56,Drift_in_Sensitivity,9,8,4,0,CNT_Energy_Electrodes
Arc Discharge,He,3369.75,252.52,2.59,54.61,76.72,0.475,22.49,1292.8,85.02,685400,132.4017,Biomedical,16.98,15.87,43.73,Pore_Collapse,6,5,3,0,CNT_Synthesis_Optimization
CVD,C2H2,703.39,121.72,1.33,70.32,90.21,0.435,7.242,697.9,101.53,730300,121.5169,Energy_Electrode,23.98,8.49,206.92,Matrix_Cracking,5,4,2,0,CNT_Sensors
Laser Ablation,Ar,1108.02,518.66,1.06,24.84,89.96,0.722,0.988,1622.11,99.7,861800,103.4016,Biomedical,23.23,37.55,5.19,Drift_in_Sensitivity,5,8,8,1,CNT_EMI_Composites
Arc Discharge,He,4416.53,413.54,2.26,84.85,82.87,0.236,23.976,376.44,110.13,517900,216.5746,EMI_Shielding,73.54,0.15,35.25,Junction_Breakdown,7,2,4,1,CNT_Interconnects
CVD,CH4,743.42,268.24,1.56,85.35,85.81,0.575,1.942,1317.48,41.97,639500,130.6359,Biomedical,22.12,31.08,57.81,Matrix_Cracking,4,6,6,1,CNT_Sensors
Laser Ablation,Ar,1184.33,499.53,0.6,62.73,87.41,0.822,0.852,1010.12,60.6,808900,133.0991,Sensor,21.47,11.83,48.88,Matrix_Cracking,4,4,2,0,CNT_EMI_Composites
Laser Ablation,Ar,1291.77,572.52,2.13,40.64,89.39,0.698,5.157,662.59,138.33,829100,138.4843,Interconnect,17.6,6.52,23.53,Junction_Breakdown,8,6,8,0,CNT_Energy_Electrodes
Arc Discharge,Ar,4727.83,227.85,2.86,71.7,83.15,0.395,27.787,998.91,114.49,605500,177.972,Sensor,18.27,37.68,47.5,Junction_Breakdown,4,4,2,1,CNT_Synthesis_Optimization
CVD,CO,640.64,328.84,1.58,40.77,98.06,0.452,11.21,402.52,148.61,804500,101.2512,Interconnect,17.1,1.67,39.88,Pore_Collapse,5,5,8,1,CNT_Energy_Electrodes
Laser Ablation,Ar,1062.13,463.2,1.56,47.43,87.88,0.87,1.754,1411.58,88.7,901800,114.579,Interconnect,13.77,5.17,35.2,Drift_in_Sensitivity,8,5,7,1,CNT_EMI_Composites
CVD,CH4,747.25,256.09,1.64,37.83,88.4,0.671,22.457,1597.09,113.27,915100,122.0928,Energy_Electrode,12.87,10.12,230.49,Contamination,8,7,6,0,CNT_EMI_Composites
Arc Discharge,He,3965.67,470.27,2.68,76.18,88.34,0.264,1.715,1033.65,141.77,662600,173.1089,Sensor,5.28,30.61,7.67,Drift_in_Sensitivity,4,3,8,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1242.53,448.64,1,36.53,87.18,0.623,20.448,1790.87,68.75,778900,136.3592,Energy_Electrode,26.39,2.4,250.01,Pore_Collapse,9,4,5,1,CNT_Interconnects
Laser Ablation,Ar,1381.14,555.71,1.52,36.05,86.33,0.763,1.184,1854.97,96.92,686500,150.3789,Interconnect,4.02,3.48,29.57,Matrix_Cracking,5,5,6,0,CNT_Sensors
Laser Ablation,Ar,1355.6,452.73,0.76,47.06,85.03,0.85,1.509,1283.55,78.16,989100,99.6594,Sensor,26.33,49.15,59.1,Thermal_Runaway,5,4,6,1,CNT_EMI_Composites
CVD,CH4,698.95,326.63,1.73,78.81,90.16,0.432,14.331,1734.27,73.33,543600,161.9466,Biomedical,6.19,18.22,10.43,Drift_in_Sensitivity,7,7,7,0,CNT_Sensors
Laser Ablation,Ar,1263.08,474.08,2.77,88.8,86.92,0.709,1.78,1341.66,90.44,916500,88.3773,Interconnect,19.57,7.2,36.17,Pore_Collapse,7,7,3,0,CNT_Interconnects
Laser Ablation,Ar,1317.21,453.28,0.78,63.92,87.44,0.879,1.94,404.38,98.87,1004000,107.5128,Interconnect,18.2,6.13,21.42,Contamination,5,4,8,0,CNT_Interconnects
Laser Ablation,Ar,1178.28,477.61,1.27,80.83,86.07,0.719,1.148,857.72,84.9,793300,119.358,Sensor,28.83,77.11,33.42,Junction_Breakdown,8,7,7,1,CNT_EMI_Composites
Arc Discharge,Ar,4633.51,247.46,0.83,87.11,79.36,0.248,1.978,1305.47,143.67,471800,180.6749,Sensor,11.66,41.14,56.19,Junction_Breakdown,9,6,3,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1104.97,587.24,1.76,43.03,87.02,0.738,0.743,944.67,80.27,654000,156.9732,EMI_Shielding,46.97,4.35,53.45,Matrix_Cracking,4,7,7,0,CNT_Interconnects
Arc Discharge,He,3868.64,286.18,1.76,71.33,87.62,0.446,15.786,1094.44,59.37,605200,143.7302,Biomedical,16.25,17.88,51.75,Drift_in_Sensitivity,6,6,6,1,CNT_Interconnects
CVD,CO,676.02,103.15,0.55,46.54,91.77,0.746,1.31,1565.26,66.2,900400,112.8452,Sensor,24.47,27.34,52.83,Junction_Breakdown,9,2,5,1,CNT_EMI_Composites
CVD,C2H2,765.77,232.36,1.43,63.64,98.72,0.664,1.542,1.5,110.65,717100,133.3637,Biomedical,5.33,11.66,71.34,Matrix_Cracking,4,5,8,0,CNT_EMI_Composites
Arc Discharge,Ar,4233.22,381.15,2.87,33.23,84.03,0.282,22.546,1380.18,142.81,638700,178.5829,Interconnect,14.67,6.15,37.5,Electromigration,4,2,4,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1220.1,432.28,2.1,65.64,87.01,0.704,0.955,1519.14,103.35,804100,126.5423,Sensor,26.22,73.52,53.51,Thermal_Runaway,6,7,5,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1137.5,433.67,2.78,60.39,85.12,0.758,0.871,152.21,140.4,940000,120.0551,Interconnect,15.92,1.29,32.23,Drift_in_Sensitivity,8,6,8,0,CNT_Interconnects
Laser Ablation,Ar,1076.47,453.02,1.03,50.85,89,0.799,1.775,342.39,149.81,679200,161.816,Interconnect,18.45,2.9,23.5,Contamination,6,2,8,0,CNT_Sensors
CVD,CH4,696.46,345.63,2.23,60.32,86.46,0.601,11.624,1849.4,71.08,765300,132.6082,Energy_Electrode,18.21,13.29,270.31,Junction_Breakdown,6,2,3,0,CNT_EMI_Composites
Laser Ablation,Ar,1093.56,404.85,2.03,65.8,88.91,0.853,1.594,1273.26,56.87,964400,109.178,Interconnect,11.74,2.99,25.18,Contamination,4,4,7,0,CNT_Interconnects
Arc Discharge,He,3528.38,471.93,2.01,70.58,78.88,0.566,28.515,1124.92,134.96,589800,183.5279,Energy_Electrode,30.35,7.82,298.12,Thermal_Runaway,5,3,7,0,CNT_Interconnects
CVD,C2H2,710.76,294.17,1.66,46.89,87.14,0.451,18.413,1965.5,132.27,571000,161.3033,EMI_Shielding,48.86,6.59,29.11,Matrix_Cracking,4,5,4,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1075.02,401.52,2.62,73.56,89.71,0.778,1.785,1885.57,138.81,854300,136.7513,Sensor,26.85,59.4,56.47,Contamination,6,4,7,0,CNT_EMI_Composites
CVD,CO,691.27,114.4,0.66,85.71,94.14,0.504,13.6,127.36,91.63,876700,105.7439,EMI_Shielding,22.96,8.9,27.71,Contamination,6,2,2,0,CNT_EMI_Composites
CVD,C2H2,670.58,331.94,2.9,67.7,87.03,0.534,25.235,1746.1,86.14,764400,133.6844,Energy_Electrode,14.64,9.14,97.55,Pore_Collapse,9,2,2,0,CNT_Interconnects
Arc Discharge,Ar,3933.82,378.16,2.88,50.62,73.33,0.587,5.541,1499.57,86.4,493100,200.2541,Interconnect,12.14,1.64,28.41,Matrix_Cracking,5,4,7,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1145.34,436.8,2.51,98.37,85.87,0.889,1.484,816.3,55.18,963300,94.7202,Sensor,28.59,39.13,48.64,Junction_Breakdown,4,3,3,0,CNT_EMI_Composites
CVD,CO,755.38,350.77,2.89,55.7,98.99,0.678,1.621,1152.36,133.35,1026000,92.2619,EMI_Shielding,26.79,6.84,20.64,Thermal_Runaway,6,5,7,1,CNT_Energy_Electrodes
CVD,CO,838.24,331.88,1.95,48.97,87.35,0.739,1.678,1982.59,125.87,643500,182.2092,Biomedical,23.55,5.38,16.4,Electromigration,9,8,3,1,CNT_Interconnects
Laser Ablation,Ar,1266.89,496.31,0.88,48.99,89.11,0.675,3.669,352.34,100.86,938900,122.0171,Biomedical,22.03,17.48,43.91,Thermal_Runaway,7,4,7,0,CNT_Synthesis_Optimization
Arc Discharge,He,3461.6,380.78,2.39,91.6,72.31,0.319,22.271,1189.79,43.12,484100,193.0349,EMI_Shielding,22.97,8.38,42.76,Matrix_Cracking,4,6,5,1,CNT_EMI_Composites
Arc Discharge,He,3885.13,383.22,1.38,38.97,89.97,0.582,5.692,204.55,87.26,602600,133.1338,Energy_Electrode,29.94,2.04,184.6,Drift_in_Sensitivity,9,3,7,1,CNT_Sensors
CVD,CH4,725.81,124.37,0.71,59.77,93.64,0.471,29.296,1144.5,112.94,803300,106.3202,Interconnect,7.36,5.56,18.83,Thermal_Runaway,5,2,5,0,CNT_Sensors
Arc Discharge,He,4040.01,233.1,1.44,86.28,70.62,0.228,24.959,115.78,118.48,505500,166.1122,Sensor,18.14,71.9,8.03,Electromigration,8,6,8,1,CNT_Synthesis_Optimization
Laser Ablation,Ar,1118.87,583.22,1.44,85.75,86.4,0.763,1.279,699.26,104.7,850400,118.8297,Biomedical,21.11,38.94,54.28,Pore_Collapse,7,3,5,0,CNT_Sensors
Arc Discharge,He,3761.88,213.33,2.11,60.22,81.21,0.248,8.675,429.08,51.36,494700,206.201,EMI_Shielding,38.21,2.98,42.89,Drift_in_Sensitivity,7,8,6,0,CNT_Interconnects
Laser Ablation,Ar,1223.78,467.63,2.46,87.39,85.32,0.811,1.115,1525.58,58.46,742400,144.6991,Sensor,6.93,87.76,48.27,Contamination,7,5,4,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1247.78,580.22,2.72,31.77,85.18,0.784,0.895,767.7,78.26,892500,127.1352,EMI_Shielding,57.33,0.86,72.94,Electromigration,5,7,8,0,CNT_Energy_Electrodes
CVD,CH4,657.94,379.42,2.13,101.22,97.42,0.757,1.096,1576.81,117.09,990700,84.9567,Interconnect,13.91,2.87,28.45,Junction_Breakdown,6,2,6,0,CNT_Energy_Electrodes
Laser Ablation,Ar,1170.71,551.47,0.95,50.21,86.15,0.623,10.343,1038.22,128.62,792200,119.433,Sensor,9.79,15.6,13.19,Electromigration,6,2,7,0,CNT_Sensors
CVD,CH4,725.44,228.63,1.3,66.04,90.89,0.558,8.613,510.7,60.63,609700,178.2092,Energy_Electrode,32.32,0.93,119.82,Electromigration,8,3,5,1,CNT_Synthesis_Optimization
CVD,CO,745.32,158.27,1.02,72.99,94.84,0.541,25.996,148.4,131.13,809100,121.4173,EMI_Shielding,79.96,6.56,49.7,Pore_Collapse,7,3,5,0,CNT_Interconnects
Laser Ablation,Ar,1268.58,581.65,2.68,91.28,88.32,0.896,1.987,1634.75,127.06,791700,148.3547,EMI_Shielding,32.78,9.78,56.31,Pore_Collapse,8,2,3,1,CNT_Energy_Electrodes
CVD,CH4,770.84,134.04,0.59,63.41,90.9,0.799,1.968,1444.78,107.43,935300,106.2731,Energy_Electrode,23.78,19.71,265.91,Contamination,7,3,4,0,CNT_EMI_Composites
CVD,CO,748.54,265.11,2.79,36.85,98.3,0.646,17.178,52,131.62,881300,108.2115,Biomedical,20.54,32.28,71.33,Matrix_Cracking,8,3,3,0,CNT_Interconnects
CVD,CO,807.89,138.93,1.41,53.64,94.59,0.404,5.619,486.11,147.14,740100,121.5792,EMI_Shielding,20.68,1.22,42.66,Pore_Collapse,9,4,8,0,CNT_EMI_Composites
Laser Ablation,Ar,1204.2,578.61,1.66,96.64,85.08,0.792,1.43,1277.09,56.06,868900,118.5613,Biomedical,24.76,38.04,27.55,Junction_Breakdown,9,3,2,0,CNT_EMI_Composites
Laser Ablation,Ar,1232.62,442.41,1.01,43.99,86.49,0.726,1.095,1819.16,119.02,837600,104.418,Sensor,19.53,29.74,32.89,Contamination,9,4,3,0,CNT_Synthesis_Optimization
Laser Ablation,Ar,1234.2,447.64,1.36,66.9,89.57,0.787,0.799,1962.9,147.73,948800,86.0061,Interconnect,14.96,4.53,19,Pore_Collapse,8,3,2,0,CNT_Sensors
Arc Discharge,Ar,3915.86,295.68,2.01,45.61,84,0.223,23.591,684.32,127.15,578600,170.3871,EMI_Shielding,53.57,1.26,78.84,Pore_Collapse,4,6,8,0,CNT_Energy_Electrodes
